,present_mentions
shawnmendes,6772
theweeknd,3770
dualipa,3712
nickiminaj,3226
justinbieber,3194
liluzivert,1899
arianagrande,1784
jbalvin,1758
mileycyrus,1424
sza,783
dojacat,675
roddyricch,586
billieeilish,539
lilnasx,424
saweetie,398
moneyman,302
machinegunkelly,252
jheneaiko,245
mariahcarey,244
drake,239
liltjay,198
torylanez,157
charlieputh,148
thekidlaroi,128
jasonderulo,120
conangray,120
lewiscapaldi,103
lildurk,101
saintjhn,93
maluma,93
dariusrucker,93
chancetherapper,85
lukecombs,75
blakeshelton,65
jackharlow,56
chrisstapleton,55
avamax,55
21savage,53
michaeljackson,52
bts,51
youngthug,49
chrisbrown,48
metroboomin,48
samsmith,48
50cent,46
jhaycortez,45
morganwallen,45
dontoliver,44
parkermccollum,42
ianndior,40
24kgoldn,39
djkhaled,29
gwenstefani,25
kelseaballerini,25
ladya,22
trippieredd,15
rodwave,15
rosalia,14
tatemcrae,13
internetmoney,12
jasonaldean,10
kennychesney,7
harrystyles,5
6lack,5
rittmomney,4
surfmesa,4
jeremih,4
jonpardi,4
leebrice,2
boughtabadbitch,2
nasty,2
thomasrhett,2
lilwayne,2
future,2
gunna,1
dynamite,1
cardib,1
jamesonrodgers,1
golden,1
brskash,1
