date,cnt
11/20/20 17:00,36045
11/20/20 18:00,20082
11/20/20 19:00,0
11/20/20 20:00,0
11/20/20 21:00,0
11/20/20 22:00,0
11/20/20 23:00,0
11/21/20 0:00,0
11/21/20 1:00,0
11/21/20 2:00,50698
11/21/20 3:00,53972
11/21/20 4:00,49637
11/21/20 5:00,48397
11/21/20 6:00,41605
11/21/20 7:00,47707
11/21/20 8:00,70042
11/21/20 9:00,45744
11/21/20 10:00,36230
11/21/20 11:00,39818
11/21/20 12:00,43788
11/21/20 13:00,51233
11/21/20 14:00,58777
11/21/20 15:00,66988
11/21/20 16:00,60855
11/21/20 17:00,60871
11/21/20 18:00,58895
11/21/20 19:00,56860
11/21/20 20:00,29819
11/21/20 2:00,50698
11/21/20 3:00,53972
11/21/20 4:00,49637
11/21/20 5:00,48397
11/21/20 6:00,41605
11/21/20 7:00,47984
11/21/20 8:00,70045
11/21/20 9:00,45464
11/21/20 10:00,36230
11/21/20 11:00,39818
11/21/20 12:00,43788
11/21/20 13:00,51233
11/21/20 14:00,58777
11/21/20 15:00,66988
11/21/20 16:00,60855
11/21/20 17:00,60871
11/21/20 18:00,58895
11/21/20 19:00,56860
11/21/20 20:00,29819
11/22/20 8:00,33054
11/22/20 9:00,38940
11/22/20 10:00,35899
11/22/20 11:00,37979
11/22/20 12:00,42990
11/22/20 13:00,50497
11/22/20 14:00,56947
11/22/20 15:00,72052
11/22/20 16:00,108916
11/22/20 17:00,63249
11/22/20 18:00,62843
11/22/20 19:00,61210
11/22/20 20:00,59675
11/22/20 21:00,57319
11/22/20 22:00,54730
11/22/20 23:00,6286
11/22/20 5:00,42094
11/22/20 6:00,42799
11/22/20 7:00,38776
11/22/20 8:00,5176
11/22/20 9:00,1401
11/22/20 10:00,35796
11/22/20 11:00,37979
11/22/20 12:00,42990
11/22/20 13:00,50497
11/22/20 14:00,56947
11/22/20 15:00,64032
11/22/20 16:00,58856
11/22/20 17:00,63169
11/22/20 18:00,62818
11/22/20 19:00,61210
11/22/20 20:00,59675
11/22/20 21:00,57319
11/22/20 22:00,54730
11/22/20 23:00,6322
11/22/20 5:00,42094
11/22/20 6:00,42799
11/22/20 7:00,38776
11/22/20 8:00,4599
11/22/20 9:00,1977
11/22/20 10:00,35798
11/22/20 11:00,37979
11/22/20 12:00,42990
11/22/20 13:00,50497
11/22/20 14:00,56947
11/22/20 15:00,64032
11/22/20 16:00,58856
11/22/20 17:00,63169
11/22/20 18:00,62818
11/22/20 19:00,61210
11/22/20 20:00,59675
11/22/20 21:00,57319
11/22/20 22:00,54730
11/22/20 23:00,6322
11/23/20 0:00,114992
11/23/20 1:00,118982
11/23/20 2:00,127903
11/23/20 3:00,70628
11/23/20 4:00,64966
11/23/20 5:00,51109
11/23/20 6:00,43592
11/23/20 7:00,40036
11/23/20 8:00,39822
11/23/20 9:00,20744
11/23/20 0:00,114992
11/23/20 1:00,118982
11/23/20 2:00,127824
11/23/20 3:00,70627
11/23/20 4:00,64966
11/23/20 5:00,51109
11/23/20 6:00,43592
11/23/20 7:00,40036
11/23/20 8:00,39822
11/23/20 9:00,20744
11/23/20 10:00,0
11/23/20 11:00,0
11/23/20 12:00,0
11/23/20 13:00,0
11/23/20 14:00,0
11/23/20 15:00,0
11/23/20 16:00,78
11/24/20 3:00,42780
11/24/20 4:00,50023
11/24/20 5:00,44650
11/24/20 6:00,43003
11/24/20 7:00,38025
11/24/20 8:00,37665
11/24/20 9:00,35857
11/24/20 10:00,36949
11/24/20 11:00,38948
11/24/20 12:00,46105
11/24/20 13:00,54529
11/24/20 14:00,72071
11/24/20 15:00,72836
11/24/20 16:00,72373
11/24/20 17:00,95058
11/24/20 18:00,90584
11/24/20 19:00,70715
11/24/20 20:00,57806
11/24/20 21:00,23
11/24/20 22:00,10556
11/24/20 23:00,38
11/24/20 3:00,42780
11/24/20 4:00,50023
11/24/20 5:00,44650
11/24/20 6:00,43003
11/24/20 7:00,38025
11/24/20 8:00,37665
11/24/20 9:00,35857
11/24/20 10:00,36949
11/24/20 11:00,38948
11/24/20 12:00,46105
11/24/20 13:00,54529
11/24/20 14:00,72071
11/24/20 15:00,72836
11/24/20 16:00,72373
11/24/20 17:00,95058
11/24/20 18:00,90584
11/24/20 19:00,70715
11/24/20 20:00,57806
11/24/20 21:00,23
11/24/20 22:00,10117
11/24/20 23:00,475
11/25/20 0:00,60533
11/25/20 1:00,58533
11/25/20 2:00,56139
11/25/20 3:00,54594
11/25/20 4:00,51134
11/25/20 5:00,47710
11/25/20 6:00,47024
11/25/20 7:00,40402
11/25/20 8:00,38491
11/25/20 9:00,34782
11/25/20 10:00,65
11/25/20 0:00,60547
11/25/20 1:00,59091
11/25/20 2:00,56139
11/25/20 3:00,54594
11/25/20 4:00,51134
11/25/20 5:00,47710
11/25/20 6:00,47024
11/25/20 7:00,40402
11/25/20 8:00,38491
11/25/20 9:00,34210
11/25/20 10:00,63
