hashtag,positive,neutral,negative
bts,21036.0,12941.0,1116.0
dynamite,17200.0,151.0,1535.0
shawnmendes,4143.0,2092.0,279.0
dualipa,2633.0,712.0,370.0
justinbieber,2011.0,1008.0,190.0
nickiminaj,1971.0,986.0,290.0
jbalvin,1667.0,73.0,12.0
theweeknd,947.0,2493.0,346.0
arianagrande,835.0,626.0,283.0
mileycyrus,795.0,341.0,312.0
golden,699.0,6205.0,150.0
liluzivert,636.0,811.0,469.0
roddyricch,476.0,91.0,22.0
dojacat,340.0,212.0,131.0
holiday,209.0,1.0,3.0
billieeilish,208.0,255.0,70.0
lilnasx,189.0,133.0,99.0
"wonder, shawnmendes",174.0,79.0,9.0
saweetie,153.0,135.0,111.0
moneyman,149.0,99.0,55.0
drake,143.0,67.0,28.0
jheneaiko,142.0,87.0,17.0
mariahcarey,127.0,92.0,28.0
jasonderulo,88.0,26.0,5.0
sza,88.0,25.0,673.0
charlieputh,81.0,44.0,25.0
machinegunkelly,77.0,87.0,88.0
dariusrucker,77.0,12.0,4.0
liltjay,74.0,63.0,60.0
thriller,73.0,2.0,49.0
torylanez,64.0,68.0,28.0
future,54.0,28.0,10.0
harrystyles,50.0,137.0,8.0
blakeshelton,46.0,13.0,4.0
chancetherapper,45.0,22.0,19.0
avamax,44.0,8.0,4.0
saintjhn,41.0,44.0,8.0
thekidlaroi,39.0,25.0,65.0
lildurk,39.0,38.0,24.0
metroboomin,38.0,7.0,3.0
lewiscapaldi,38.0,53.0,13.0
morganwallen,36.0,3.0,5.0
jhaycortez,36.0,7.0,2.0
michaeljackson,33.0,29.0,17.0
samsmith,32.0,13.0,4.0
bettertogether,32.0,15.0,3.0
maluma,29.0,39.0,27.0
21savage,27.0,13.0,15.0
youngthug,25.0,14.0,12.0
mood,24.0,17.0,12.0
50cent,23.0,13.0,12.0
adoreyou,22.0,,
pov,21.0,11.0,7.0
ladya,20.0,3.0,
"dynamite, bts",20.0,,
thick,20.0,18.0,21.0
chrisbrown,19.0,16.0,7.0
parkermccollum,18.0,14.0,10.0
"positions, arianagrande",18.0,24.0,15.0
"nickiminaj, nickiminaj",18.0,8.0,3.0
roses,17.0,7.0,1.0
gwenstefani,16.0,6.0,1.0
conangray,16.0,15.0,88.0
wonder,16.0,13.0,4.0
lukecombs,16.0,56.0,2.0
24kgoldn,15.0,20.0,5.0
kelseaballerini,15.0,7.0,3.0
wap,15.0,18.0,10.0
watermelonsugar,14.0,5.0,
plastic,14.0,5.0,5.0
djkhaled,14.0,10.0,3.0
"shawnmendes, shawnmendes",12.0,3.0,1.0
chrisstapleton,12.0,11.0,29.0
ianndior,11.0,22.0,7.0
jackharlow,10.0,35.0,11.0
megantheestallion,10.0,27.0,6.0
"bts, bts",9.0,,
practice,9.0,9.0,2.0
tatemcrae,8.0,1.0,4.0
badbunny,8.0,13.0,7.0
dontoliver,7.0,36.0,1.0
diamonds,7.0,5.0,
trippieredd,7.0,8.0,
"lonely, justinbieber",6.0,,4.0
rodwave,6.0,5.0,5.0
jasonaldean,6.0,4.0,
rockstar,6.0,1.0,4.0
cardib,6.0,10.0,5.0
"gocrazy, chrisbrown",6.0,,
kennychesney,6.0,1.0,
rosalia,6.0,4.0,4.0
holy,6.0,6.0,1.0
juicewrld,6.0,3.0,
lonely,5.0,5.0,6.0
happyanywhere,5.0,1.0,
travisscott,5.0,2.0,5.0
"dualipa, dualipa",5.0,2.0,
"mileycyrus, mileycyrus",5.0,5.0,4.0
positions,5.0,23.0,2.0
rittmomney,4.0,,
popstar,4.0,2.0,
"arianagrande, arianagrande",4.0,1.0,1.0
internetmoney,4.0,7.0,1.0
"thereforeiam, billieeilish",3.0,2.0,2.0
"justinbieber, justinbieber",3.0,6.0,
"holiday, lilnasx",3.0,,
"kingvon, 21savage",3.0,,
ily,3.0,,
lilbaby,3.0,,1.0
nasty,3.0,1.0,23.0
"dynamite, justinbieber",3.0,,1.0
"dynamite, dualipa",3.0,,1.0
jonpardi,3.0,,1.0
"justinbieber, shawnmendes",3.0,,
"dynamite, theweeknd",3.0,,1.0
"dynamite, jbalvin",2.0,,1.0
"bts, billieeilish",2.0,1.0,1.0
"lilnasx, lilnasx",2.0,,
brskash,2.0,,
"dynamite, arianagrande",2.0,,1.0
levitating,2.0,4.0,1.0
"dynamite, shawnmendes",2.0,,
"charlieputh, charlieputh",2.0,,
jeremih,2.0,2.0,1.0
moneybaggyo,2.0,,
leebrice,2.0,,
popsmoke,2.0,2.0,2.0
alliwantforchristmasisyou,2.0,2.0,
dababy,2.0,,1.0
marshmello,2.0,1.0,
cj,2.0,,1.0
"arianagrande, theweeknd",2.0,,
lemonade,2.0,,
surfmesa,2.0,1.0,
iris,2.0,,
"shawnmendes, justinbieber",2.0,,1.0
"bts, arianagrande",2.0,1.0,1.0
"dynamite, billieeilish",2.0,,1.0
thomasrhett,2.0,,
lilwayne,1.0,1.0,1.0
"heather, conangray",1.0,,
"jheneaiko, jheneaiko",1.0,,
"bts, jhaycortez",1.0,,
tapin,1.0,3.0,1.0
"positions, lukecombs",1.0,,
rags2riches,1.0,,
youngboyneverbrokeagain,1.0,,
"dynamite, roddyricch",1.0,,
"alliwantforchristmasisyou, mariahcarey",1.0,1.0,1.0
"positions, liluzivert",1.0,,
"positions, theweeknd",1.0,,
"machinegunkelly, machinegunkelly",1.0,,
blackbear,1.0,,
jawsh685,1.0,,
"gwenstefani, gwenstefani",1.0,,
kingvon,1.0,3.0,1.0
"golden, shawnmendes",1.0,5.0,
"holy, justinbieber",1.0,6.0,
"maluma, maluma",1.0,,
"holy, chancetherapper",1.0,1.0,
lovelanguage,1.0,,
"blindinglights, theweeknd",1.0,,2.0
"bts, jasonderulo",1.0,1.0,
takeyoudancing,1.0,,
goodtime,1.0,,
"24kgoldn, 24kgoldn",1.0,,
"moodswings, liltjay",1.0,,
gunna,1.0,,2.0
westside,1.0,1.0,1.0
"morganwallen, morganwallen",1.0,,
franchise,1.0,,
jamesonrodgers,1.0,,
"popsmoke, liltjay",1.0,,
startingover,1.0,,
"ily, surfmesa",1.0,,
6lack,1.0,4.0,
shutup,1.0,6.0,1.0
"theweeknd, theweeknd",1.0,4.0,
"positions, chrisstapleton",1.0,,
"billieeilish, theweeknd",1.0,,
"golden, arianagrande",,18.0,
"golden, billieeilish",,6.0,
"golden, harrystyles",,4.0,
"wonder, justinbieber",,4.0,
belikethat,,3.0,
"happyanywhere, blakeshelton",,3.0,
"drake, drake",,2.0,1.0
"golden, dualipa",,2.0,
"levitating, dualipa",,2.0,
"happyanywhere, gwenstefani",,2.0,
boughtabadbitch,,2.0,
blindinglights,,2.0,
"startingover, chrisstapleton",,1.0,1.0
"sza, sza",,1.0,
ihope,,1.0,
whatspoppin,,1.0,1.0
nav,,1.0,
chrislane,,1.0,
"bts, justinbieber",,1.0,1.0
thereforeiam,,1.0,
"bts, drake",,1.0,1.0
"tylerherro, jackharlow",,1.0,
"bettertogether, chrisbrown",,1.0,
"sech, jbalvin",,1.0,
"21savage, 21savage",,1.0,
"lilwayne, djkhaled",,1.0,
"jbalvin, jbalvin",,1.0,
midnightsky,,1.0,
"billieeilish, billieeilish",,1.0,
moodswings,,1.0,
"bts, dualipa",,1.0,1.0
"bts, jbalvin",,1.0,1.0
"djkhaled, djkhaled",,1.0,
"bts, theweeknd",,1.0,1.0
maggie,,1.0,
"mileycyrus, dualipa",,,2.0
blind,,,1.0
polog,,,1.0
obvious,,,1.0
phoebe,,,1.0
"dynamite, drake",,,1.0
tragic,,,1.0
"shawnmendes, arianagrande",,,1.0
"nasty, arianagrande",,,1.0
